manufacturing pmi,services pmi,consumer confidence,close,country
49.6,50.6,93.4,0.6691,australia
50.2,49,95.5,0.6509,australia
49.7,38.5,91.9,0.6135,australia
44.1,19.5,75.6,0.651,australia
44,26.9,88.1,0.6666,australia
51.2,53.1,93.7,0.6902,australia
54,58.2,87.9,0.7142,australia
53.6,49,79.5,0.7375,australia
55.4,50.8,93.9,0.7161,australia
54.2,53.7,105,0.7026,australia
55.8,55.1,107.7,0.7345,australia
55.7,57,112,0.7694,australia
57.2,55.6,107,0.7642,australia
56.9,53.4,109.1,0.7705,australia
56.8,55.5,111.8,0.7596,australia
59.7,58.8,118.8,0.7716,australia
60.4,58,113.1,0.7734,australia
58.6,56.8,107.2,0.7498,australia
56.9,44.2,108.9,0.7344,australia
52,42.9,104.1,0.7315,australia
56.8,45.5,106.2,0.7226,australia
58.2,51.8,104.6,0.7521,australia
59.2,55.7,105.3,0.7123,australia
57.7,55.1,104.3,0.726,australia
55.1,46.6,102.2,0.7064,australia
57,57.4,100.8,0.7262,australia
57.7,55.6,96.6,0.748,australia
58.8,56.6,95.8,0.7063,australia
55.7,53.2,90.4,0.7173,australia
56.2,52.6,86.4,0.6901,australia
55.7,50.9,83.8,0.6985,australia
53.8,50.2,81.2,0.6839,australia
53.5,50.6,84.5,0.6402,australia
52.7,49.3,83.7,0.6397,australia
51.3,47.6,78,0.6786,australia
50.2,47.3,80.3,0.6813,australia
50,48.6,84.3,0.7054,australia
50.5,50.7,78.5,0.6728,australia
49.1,48.6,78.5,0.6685,australia
48,53.7,85.8,0.6607,australia
48.4,52.1,79,0.65,australia
48.2,50.7,79.2,0.6666,australia
49.6,47.9,81.3,0.672,australia
49.6,47.8,81,0.6483,australia
48.7,51.8,79.7,0.6434,australia
48.2,47.9,82,0.6336,australia
47.7,46,79.9,0.6605,australia
47.6,47.1,82.1,0.681,australia
50.6,48.3,51.5,1.3235,canada
51.8,42,53.97,1.3396,canada
46.1,37.8,53.03,1.4059,canada
33,19.7,35.6,1.3941,canada
40.6,30,38.45,1.3769,canada
47.8,42.2,42.33,1.3573,canada
52.9,43.7,44.09,1.3413,canada
55.1,45.2,43.96,1.3045,canada
56,46.3,45.35,1.3319,canada
55.5,47,42.08,1.3317,canada
55.8,47.5,44.5,1.3,canada
57.9,46.3,45.25,1.273,canada
54.4,48.6,47.98,1.2777,canada
54.8,49,46.34,1.2739,canada
58.5,51.2,50.25,1.2558,canada
57.2,50.7,52.41,1.2289,canada
57,50.7,48.63,1.2062,canada
56.5,51.4,51.49,1.2394,canada
56.2,52.6,55.7,1.247,canada
57.2,51.6,55.01,1.2614,canada
57,51.7,52.98,1.2678,canada
57.7,52.3,55.37,1.2387,canada
57.2,51.9,54.09,1.2776,canada
56.5,51.4,52.28,1.2634,canada
56.2,50.3,51.51,1.2705,canada
56.6,51.9,51.41,1.2675,canada
58.9,56.1,49.09,1.2499,canada
56.2,55,49.98,1.2856,canada
56.8,53.8,52.23,1.2644,canada
54.6,50.4,50.42,1.2872,canada
52.5,48,50.35,1.2793,canada
48.7,46.6,50.32,1.3127,canada
49.8,48,50.14,1.3826,canada
48.8,47.2,48.51,1.3622,canada
49.6,48.2,46.62,1.3409,canada
49.2,47.9,49.34,1.3549,canada
51,47.7,48.81,1.3305,canada
52.4,49.5,47.49,1.3645,canada
48.6,50.1,47.28,1.3515,canada
50.2,51.3,49.24,1.355,canada
49,50.8,49.54,1.3572,canada
48.8,49.7,51.43,1.3236,canada
49.6,48.5,49.55,1.3187,canada
48,47.2,46.9,1.3507,canada
47.5,47.8,47.66,1.3577,canada
48.6,46.6,45.56,1.3874,canada
47.7,44.5,47.26,1.3562,canada
45.4,44.6,46.57,1.3245,canada
50,54.1,126.4,6.9364,china
35.7,29.6,118.9,6.9906,china
52,52.3,122.2,7.0808,china
50.8,53.2,116.4,7.06,china
50.6,53.6,115.8,7.1348,china
50.9,54.4,112.6,7.0651,china
51.1,54.2,117.2,6.9744,china
51,55.2,116.4,6.8474,china
51.5,55.9,120.5,6.7896,china
51.4,56.2,121.7,6.6919,china
52.1,56.4,124,6.576,china
51.9,55.7,122.1,6.525,china
51.3,52.4,122.8,6.425,china
50.6,51.4,127,6.473,china
51.9,56.3,122.2,6.5518,china
51.1,54.9,121.5,6.473,china
51,55.2,121.8,6.3688,china
50.9,53.5,122.8,6.4566,china
50.4,53.3,117.8,6.4609,china
50.1,47.5,117.5,6.4604,china
49.6,53.2,121.2,6.4452,china
49.2,52.4,121.5,6.405,china
50.1,52.3,121.8,6.364,china
50.3,52.7,122.8,6.3521,china
50.1,51.1,117.8,6.3605,china
50.2,51.6,117.5,6.3084,china
49.5,48.4,121.2,6.3393,china
47.4,41.9,120.2,6.608,china
49.6,47.8,119.5,6.6715,china
50.2,54.7,119.8,6.6981,china
49,53.8,121.5,6.7433,china
49.4,52.6,120.5,6.889,china
50.1,50.6,113.2,7.1135,china
49.2,48.7,86.7,7.3015,china
48,46.7,86.8,7.0879,china
47,41.6,88.9,6.8972,china
50.1,54.4,87.9,6.754,china
52.6,56.3,87,6.9325,china
51.9,58.2,87.2,6.8676,china
49.2,56.4,86.8,6.911,china
48.8,54.5,85.5,7.1109,china
49,53.2,88.3,7.2513,china
49.3,51.5,91.2,7.1426,china
49.7,51,94.7,7.2582,china
50.2,51.7,94.9,7.301,china
49.5,50.6,87.9,7.3158,china
49.4,50.2,87,7.136,china
